osm_id,name,city,state,lat,lon
592357533,Pista da Barão,,,-22.8892585,-43.6046833
592357537,Pista Dercides Alvez,,,-22.8892841,-43.610403
592906056,Pista de Skate Cleonice Machado,,,-21.5305787,-43.0151029
592994723,Skate Barbante,,,-22.8985592,-43.5858797
593589753,,,,-7.6338041,-72.6670082
594314938,,,,-17.2987464,-49.032327
594346548,,,,-22.9804607,-47.0018042
594768831,,,,-23.8061276,-45.3972129
597033614,,,,-23.6626204,-46.6193377
597530722,,,,-8.0159156,-34.9330291
598051533,,,,-22.4103377,-47.5575023
598608325,,,,-20.7249122,-48.0428141
598608326,,,,-20.7248337,-48.0426159
600926138,,,,-23.0413633,-51.8069205
601090925,,,,-20.9149418,-46.9736771
603747812,,,,-23.6018338,-46.9147841
604430927,,,,-3.2019049,-52.2086232
605110278,Pista de Skate,,,-28.4611399,-52.8172941
605915172,,,,-23.3342848,-46.7264375
606415788,,,,-27.6027926,-48.6104199
607052729,SKATE,,,-27.0979334,-52.6424721
607179517,Pista de Skate Leandro Canãs,,,-23.0453228,-46.9827954
607732216,,,,-21.849465,-46.9022533
608169774,,,,-22.0805584,-51.4756182
608181143,,,,-22.079119,-51.4785917
609039567,,,,-27.6150334,-48.5865145
613398141,,,,-23.6219115,-46.5566438
613419550,,,,-23.5305187,-46.3214138
613419551,,,,-23.5316275,-46.3218035
613970064,,,,-3.213008,-52.2119068
614109843,,,,-27.1049368,-52.6761922
614794672,PRAÇA DA VILA,,,-19.1747742,-41.8722544
614832110,Parque Municipal de Skate,,,-22.5317752,-52.1762442
614876892,,,,-23.4075403,-46.7516096
615019838,,,,-8.0339208,-34.9845847
616715687,,,,-29.3616376,-51.2131172
616854541,Pista Skate Lourenço Domenici,,,-21.1301234,-48.0131388
617192902,,,,-20.5031186,-47.4056446
617292270,,,,-7.8441625,-34.907674
617653787,,,,-28.2875808,-54.2610502
623151727,,,,-15.5540997,-56.0559509
624198399,Pista de Skate,,,-23.9513594,-46.4546256
624463174,Pista de Skate de Garça,,,-22.2163262,-49.6461118
625178142,,,,-29.6836875,-51.0492232
625307516,,,,-4.954295,-47.4672126
625576781,,,,-20.8684812,-48.2923372
625623198,,,,-25.8832447,-48.5823459
625845825,,,,-20.4013195,-47.4188123
626428708,,,,-22.7944714,-47.202806
627040545,,,,-29.9994698,-51.0761574
627797714,,,,-16.4775081,-54.6335801
627899078,Evans Lee Rodrigues (Plaza Evans Lee),,,-22.7726916,-47.1611212
628855476,,,,-28.4250432,-48.9467355
629289304,,,,-29.7198859,-53.7855395
629305197,Pista de Skate do Parque do Rodeio,,,-23.5732814,-46.4032265
629511609,Skatepark Farroupilha,,,-29.2280585,-51.3409365
629995796,,,,-14.7983389,-39.2771082
630103193,,,,-9.8797213,-56.0850497
630655520,,,,-23.5226506,-46.3413983
630749188,Pista de Skate Esporte e Lazer,,,-18.7753922,-46.4124942
630800343,,,,-29.8869695,-50.25725
630954300,,,,-18.9560985,-46.9895209
630954316,,,,-18.9462803,-46.9912759
632078278,,,,-22.8841967,-43.2465045
632210717,Pista de Skate da Vila Boa Vista,,,-23.499989,-46.8727906
635352726,Pista de Skate,,,-22.6028791,-47.8699494
636632392,,,,-23.9664428,-46.2560225
637195087,,,,-22.4592059,-47.5268616
637908481,,,,-3.7471646,-38.4499261
637956606,,,,-23.4984568,-46.8751616
642365867,,,,-20.4580095,-45.9585689
643216310,Pista Skate do Jardim Marilu,,,-22.3257565,-49.1110532
645475872,,,,-23.5629247,-48.0079904
646638362,Mogi Skate Park,Mogi das Cruzes,,-23.5118259,-46.1860553
649195700,,,,-24.3322747,-50.6339304
649294542,,,,-23.5412534,-46.784958
650385526,,,,-30.0143625,-51.2594764
650750989,,,,-12.6713535,-39.0978255
651220736,,,,-10.7862035,-37.0489662
652137605,,,,-23.7837204,-45.6300643
653105640,,,,-23.6035791,-47.0230555
653986799,Pista de Skate,,,-20.2532325,-47.4780743
654242515,,,,-22.2355118,-45.9315738
